Price,High,Low,Close,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME
Date,,,,
2017-05-19,124.7164836617467,121.51204799166715,123.82920837402344,36552331
2017-05-22,125.02444707207965,122.56062174380367,123.21324157714844,29679220
2017-05-23,123.4112294808139,121.2847072653161,121.95199584960938,39501154
2017-05-24,123.54321290971725,119.16552326949821,121.50469207763672,46892442
2017-05-25,122.421295575904,119.91347518439298,120.29478454589844,34373452
2017-05-26,120.11146356360219,117.77962351446362,117.83828735351562,46063128
2017-05-29,120.41944693402442,117.83096503461545,120.1847915649414,28764933
2017-05-30,119.85480981260646,118.18292957297491,118.52757263183594,22672890
2017-05-31,118.4982445821865,113.68058180120043,114.34053039550781,74365820
2017-06-01,114.94914971354108,111.9866987734887,112.1920166015625,50591935
2017-06-02,115.22781372070312,111.18009813895982,115.22781372070312,65420920
2017-06-05,116.51105646624545,113.2406171933187,113.43860626220703,48595070
2017-06-06,114.39186966198287,111.53940618015045,112.04537200927734,34673925
2017-06-07,113.73924469071663,111.27541946940315,112.0600357055664,43663690
2017-06-08,112.50732378618119,108.7089327218234,111.40740203857422,67991952
2017-06-09,117.37744539034772,114.60618880563864,114.61383056640625,45313560
2017-06-13,112.45331556159981,110.69742307271044,111.46085357666016,53391917
2017-06-14,111.19364893258634,109.02550908364356,109.17056274414062,58227730
2017-06-15,108.56745351024689,103.97922887751437,106.11683654785156,183326250
2017-06-16,109.0178765843728,106.13211025661505,108.12466430664062,79690201
2017-06-19,110.81192812384589,108.2544430373076,110.69741821289062,55251985
2017-06-20,112.30064271185176,109.55228797074525,110.62108612060547,58990955
2017-06-21,110.68979297284065,108.99497632197387,109.54464721679688,48036301
2017-06-22,111.22418917386277,108.23917318307883,110.12484741210938,54359420
2017-06-23,111.4608588251813,109.64389041253469,110.01034545898438,42334000
2017-06-26,111.83495139089126,109.78895135095092,110.30809020996094,46189984
2017-06-27,112.37697235554333,109.47593399445886,112.3006362915039,51070900
2017-06-28,111.80440404666972,110.47604231737535,111.07914733886719,45975195
2017-06-29,112.0945045773456,109.32324806384094,109.78131103515625,48806780
2017-06-30,112.01815270114889,109.07895229972979,111.14784240722656,67210530
2017-07-03,113.21674955942969,111.62881266432736,112.60600280761719,38410910
2017-07-04,114.36188318010107,112.30825341580797,114.04887390136719,40165050
2017-07-05,114.35425630338514,112.9037429263106,113.72061920166016,48191260
2017-07-06,115.30090355902313,113.67479292167684,114.78177642822266,51568320
2017-07-07,116.42316070224122,113.7969577051793,116.1635971069336,57150370
2017-07-10,118.59130493758487,116.76670629524986,118.33174133300781,63627126
2017-07-11,119.85859242609392,118.29355752002456,119.78988647460938,57224687
2017-07-12,122.90467795866412,120.24030137269331,122.79779815673828,70426950
2017-07-13,124.14906121976212,120.88157968965551,122.10307312011719,71818770
2017-07-14,123.87423260121092,121.71372282092031,123.21768188476562,43599593
2017-07-17,124.51551913600731,122.01146802940949,123.66046905517578,40218964
2017-07-18,124.43153285068368,122.82069414025162,123.44670104980469,36470790
2017-07-19,125.46216583251953,122.55349748537553,125.46216583251953,56474420
2017-07-20,125.89733260576148,124.79799076904496,125.14916229248047,41944463
2017-07-21,125.19498909017878,123.46199835534249,123.75210571289062,35023110
2017-07-24,123.92767611565027,121.0800835744002,123.16424560546875,57495791
2017-07-25,123.90477803455981,122.08780963541561,122.31684112548828,43219118
2017-07-26,123.91241741121266,122.24050255240587,123.33221435546875,42613230
2017-07-27,126.7294692993164,123.98111470309452,126.7294692993164,55346876
2017-07-28,126.53861343267968,124.55368934667442,126.27140808105469,50132680
2017-07-31,127.76010318559237,125.1109983284528,125.60722351074219,55781552
2017-08-01,128.25633261316423,126.19507245454353,126.96613311767578,55355187
2017-08-02,129.7373918905412,127.14172098391502,129.70684814453125,55341012
2017-08-03,130.53134651100675,129.14953913933405,129.78318786621094,56318763
2017-08-04,129.78320166675283,128.71440348910778,129.5770721435547,27204000
2017-08-07,132.03529864472122,130.07328837666023,131.91314697265625,35534035
2017-08-08,134.27216229198837,131.813915109344,134.17291259765625,50531372
